bareground
0.45
37.5
6.5
6.5
62.5
37.5
17.5
62.5
2
37.5
85
37.5
17.5
17.5
37.5
0.45
62.5
62.5
17.5
37.5
37.5
0.05
0
6.5
37.5
6.5
6.5
17.5
0.45
0.45
2
17.5
62.5
37.5
62.5
17.5
17.5
37.5
62.5
6.5
37.5
6.5
0.05
2
85
17.5
0.05
6.5
0
2
17.5
17.5
2
0.45
37.5
0.45
62.5
17.5
2
0.05
2
6.5
0.45
37.5
37.5
0
17.5
62.5
17.5
2
62.5
17.5
0.45
17.5
0
85
17.5
17.5
2
0
37.5
17.5
0.45
85
37.5
37.5
0
85
2
37.5
62.5
6.5
62.5
37.5
6.5
0.45
62.5
6.5
62.5
6.5
17.5
0
0.45
62.5
17.5
62.5
2
6.5
2
85
37.5
2
0.05
6.5
62.5
0.45
2
62.5
6.5
97.5
